Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Uzbekistan,UZB,13360607917.8773,13760513969.314,56516280748.3777,63628854498.5024,68997168337.6782,76658542757.4707,81847410181.7953,81779012350.8833,59159945320.5667,50392607758.2324,57921286440.3495,..
GDP (current US$),NY.GDP.MKTP.CD,Vanuatu,VUT,168879207.244148,272014693.050806,792149700.679116,781702874.106058,801787555.861121,814954306.971033,759689950.930918,804332795.575017,880043553.748442,914700508.22242,934239973.812573,..
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela, RB",VEN,48598315565.032,117140723529.412,316482190800.364,381286237847.667,371005379786.566,482359318767.703,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Vietnam,VNM,6471740805.56984,31172518403.3162,135539438559.709,155820001920.492,171222025117.381,186204652922.262,193241108709.536,205276172134.901,223779865815.183,245213686369.157,261921244843.172,..
GDP (current US$),NY.GDP.MKTP.CD,Virgin Islands (U.S.),VIR,..,..,4239000000,4095000000,3762000000,3622000000,3748000000,3863000000,3855000000,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,West Bank and Gaza,PSE,..,4313600000,11186100000,12208400000,13515500000,13989700000,13972400000,15405400000,16128000000,16276600000,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Yemen, Rep.",YEM,5647119229.00763,9652436179.64605,32726417212.348,35401341663.0425,40415235701.9871,43206469767.4419,42450620875.6499,30935978723.73,26736139802.004,23486270352.3327,22581081993.945,..
GDP (current US$),NY.GDP.MKTP.CD,Zambia,ZMB,3285217391.30435,3600683039.73254,23459515275.5776,25503060420.026,28045553105.1354,27150728123.781,21243339048.2369,20954754378.1394,25868165344.8185,26312140828.64,23309773922.7582,..
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,8783816700,6689957600,14101920300,17114849900,19091020000,19495519600,19963120600,20548678100,22040902300,24311560500,21440758800,..
GDP (current US$),NY.GDP.MKTP.CD,Arab World,ARB,447403057842.308,735685319268.802,2494028778449.34,2773499064014.84,2856372458851.04,2894391168409.54,2534723688142.23,2469440154484.43,2516121177762.82,2771384097904.53,2817414584665.11,..
GDP (current US$),NY.GDP.MKTP.CD,Caribbean small states,CSS,18011676248.2365,34198261849.0944,69668274255.6167,72051118641.7628,73417589878.414,74433668499.321,72828471570.5459,69191343076.2298,71452564226.3475,74967267520.1689,77721714917.8506,..
GDP (current US$),NY.GDP.MKTP.CD,Central Europe and the Baltics,CEB,262824456623.165,428026479180.405,1449107473075.26,1352688633437.44,1422193604145.12,1464899669967.39,1292086768710.81,1320631381338.53,1463498188698.06,1644435698536.64,1668851928931.89,..
